Schooljaar;Schoolcode;tSchool;Type data;Geslacht;Bouw;Leerjaar;Profiel;Aantal leerlingen;Aantal leerlingen vj;tAantal verhuizers;tAantal afstromers;tAantal overleden;Aantal bevorderd;Aantal geslaagd
23-24;13556-21AB-000;03. 13556-21AB-000;School;Vrouw;Bovenbouw;5;Profielcombinatie NTNG;22;19;;22;;;
23-24;13556-21AB-000;03. 13556-21AB-000;School;Man;Bovenbouw;4;Profielcombinatie EMCM;22;24;;22;;;
23-24;13556-21AB-000;03. 13556-21AB-000;School;Vrouw;Bovenbouw;6;Profielcombinatie EMCM;24;29;;24;;;
23-24;13556-21AB-000;03. 13556-21AB-000;School;Man;Bovenbouw;6;Profielcombinatie EMCM;26;20;;26;;;
23-24;13556-21AB-000;03. 13556-21AB-000;School;Vrouw;Bovenbouw;4;Profielcombinatie NTNG;28;22;;28;;;
23-24;13556-21AB-000;03. 13556-21AB-000;School;Man;Bovenbouw;5;Profielcombinatie EMCM;30;34;;30;;;
23-24;13556-21AB-000;03. 13556-21AB-000;School;Vrouw;Bovenbouw;4;Profielcombinatie EMCM;32;23;;32;;;
23-24;13556-21AB-000;03. 13556-21AB-000;School;Man;Onderbouw;2;;62;72;;62;;;
23-24;13556-21AB-000;03. 13556-21AB-000;School;Man;Onderbouw;1;;66;66;;66;;;
23-24;13556-21AB-000;03. 13556-21AB-000;School;Man;Onderbouw;3;;68;55;;68;;;
23-24;13556-21AB-000;03. 13556-21AB-000;School;Vrouw;Onderbouw;3;;71;83;;71;;;
23-24;13556-21AB-000;03. 13556-21AB-000;School;Vrouw;Onderbouw;2;;75;77;;75;;;
23-24;13556-21AB-000;03. 13556-21AB-000;School;Vrouw;Onderbouw;1;;80;77;;80;;;
18-19;40776-01ET-000;04. 40776-01ET-000;School;Man;Bovenbouw;5;Cultuur en Maatschappij;3;;;;;2;
18-19;40776-01ET-000;04. 40776-01ET-000;School;Vrouw;Bovenbouw;5;Natuur en Techniek;26;;;;;26;
18-19;40776-01ET-000;04. 40776-01ET-000;School;Vrouw;Bovenbouw;5;Natuur en Gezondheid;24;;;;;24;
18-19;40776-01ET-000;04. 40776-01ET-000;School;Vrouw;Bovenbouw;5;Economie en Maatschappij;14;;;;;14;
18-19;40776-01ET-000;04. 40776-01ET-000;School;Vrouw;Bovenbouw;4;Natuur en Techniek;16;;;;;16;
18-19;40776-01ET-000;04. 40776-01ET-000;School;Vrouw;Bovenbouw;4;Natuur en Gezondheid;28;;;;;27;
18-19;40776-01ET-000;04. 40776-01ET-000;School;Vrouw;Bovenbouw;4;Cultuur en Maatschappij;9;;;;;9;
18-19;40776-01ET-000;04. 40776-01ET-000;School;Man;Bovenbouw;5;Economie en Maatschappij;20;;;;;17;
18-19;40776-01ET-000;04. 40776-01ET-000;School;Man;Bovenbouw;4;Natuur en Gezondheid;8;;;;;8;
18-19;40776-01ET-000;04. 40776-01ET-000;School;Vrouw;Bovenbouw;5;Cultuur en Maatschappij;7;;;;;7;
18-19;40776-01ET-000;04. 40776-01ET-000;School;Man;Bovenbouw;4;Cultuur en Maatschappij;3;;;;;3;
18-19;40776-01ET-000;04. 40776-01ET-000;School;Man;Bovenbouw;6;Natuur en Gezondheid;7;;;0;;;5
18-19;40776-01ET-000;04. 40776-01ET-000;School;Vrouw;Bovenbouw;6;Natuur en Gezondheid;8;;;0;;;7
18-19;40776-01ET-000;04. 40776-01ET-000;School;Man;Bovenbouw;6;Profielcombinatie NTNG;24;;;0;;;24
18-19;40776-01ET-000;04. 40776-01ET-000;School;Man;Bovenbouw;6;Natuur en Techniek;13;;;0;;;12
18-19;40776-01ET-000;04. 40776-01ET-000;School;Vrouw;Bovenbouw;4;Economie en Maatschappij;19;;1;0;;18;
18-19;40776-01ET-000;04. 40776-01ET-000;School;Man;Bovenbouw;6;Cultuur en Maatschappij;1;;;0;;;1
18-19;40776-01ET-000;04. 40776-01ET-000;School;Vrouw;Bovenbouw;6;Cultuur en Maatschappij;5;;;0;;;4
18-19;40776-01ET-000;04. 40776-01ET-000;School;Vrouw;Bovenbouw;6;Natuur en Techniek;4;;;0;;;4
18-19;40776-01ET-000;04. 40776-01ET-000;School;Vrouw;Bovenbouw;6;Profielcombinatie NTCM;1;;;0;;;1
18-19;40776-01ET-000;04. 40776-01ET-000;School;Vrouw;Bovenbouw;6;Profielcombinatie NTNG;27;;;0;;;26
18-19;40776-01ET-000;04. 40776-01ET-000;School;Man;Bovenbouw;6;Economie en Maatschappij;15;;;1;;;9
18-19;40776-01ET-000;04. 40776-01ET-000;School;Man;Bovenbouw;4;Natuur en Techniek;13;;;1;;11;
18-19;40776-01ET-000;04. 40776-01ET-000;School;Man;Bovenbouw;5;Natuur en Techniek;28;;;1;;27;
18-19;40776-01ET-000;04. 40776-01ET-000;School;Man;Bovenbouw;4;Economie en Maatschappij;27;;;1;;24;
18-19;40776-01ET-000;04. 40776-01ET-000;School;Vrouw;Bovenbouw;6;Economie en Maatschappij;19;;;1;;;17
18-19;40776-01ET-000;04. 40776-01ET-000;School;Man;Bovenbouw;5;Natuur en Gezondheid;17;;;2;;15;
18-19;40776-01ET-000;04. 40776-01ET-000;School;Man;Onderbouw;1;;66;;2;2;;61;
18-19;40776-01ET-000;04. 40776-01ET-000;School;Vrouw;Onderbouw;3;;62;;1;2;;56;
18-19;40776-01ET-000;04. 40776-01ET-000;School;Vrouw;Onderbouw;1;;79;;;3;;76;
18-19;40776-01ET-000;04. 40776-01ET-000;School;Vrouw;Onderbouw;2;;70;;1;5;;61;
18-19;40776-01ET-000;04. 40776-01ET-000;School;Man;Onderbouw;2;;71;;;6;;61;
18-19;40776-01ET-000;04. 40776-01ET-000;School;Man;Onderbouw;3;;88;;;12;;70;
19-20;40776-01ET-000;04. 40776-01ET-000;School;Vrouw;Bovenbouw;5;Natuur en Gezondheid;27;24;;;;27;
19-20;40776-01ET-000;04. 40776-01ET-000;School;Vrouw;Bovenbouw;5;Cultuur en Maatschappij;11;7;;;;11;
19-20;40776-01ET-000;04. 40776-01ET-000;School;Vrouw;Bovenbouw;4;Natuur en Techniek;12;16;;;;12;
19-20;40776-01ET-000;04. 40776-01ET-000;School;Vrouw;Bovenbouw;4;Economie en Maatschappij;16;19;;;;16;
19-20;40776-01ET-000;04. 40776-01ET-000;School;Man;Bovenbouw;5;Natuur en Techniek;11;28;;;;10;
19-20;40776-01ET-000;04. 40776-01ET-000;School;Man;Bovenbouw;4;Cultuur en Maatschappij;;3;;;;;
19-20;40776-01ET-000;04. 40776-01ET-000;School;Man;Bovenbouw;4;Natuur en Gezondheid;13;8;;;;13;
19-20;40776-01ET-000;04. 40776-01ET-000;School;Man;Bovenbouw;4;Natuur en Techniek;25;13;;;;25;
19-20;40776-01ET-000;04. 40776-01ET-000;School;Man;Bovenbouw;5;Natuur en Gezondheid;8;17;;;;8;
19-20;40776-01ET-000;04. 40776-01ET-000;School;Man;Bovenbouw;5;Cultuur en Maatschappij;4;3;;;;4;
19-20;40776-01ET-000;04. 40776-01ET-000;School;Vrouw;Bovenbouw;5;Economie en Maatschappij;17;14;;;;16;
19-20;40776-01ET-000;04. 40776-01ET-000;School;Vrouw;Bovenbouw;6;Profielcombinatie NTCM;;1;;;;;
19-20;40776-01ET-000;04. 40776-01ET-000;School;Vrouw;Bovenbouw;6;Profielcombinatie EMCM;13;;;0;;;13
19-20;40776-01ET-000;04. 40776-01ET-000;School;Vrouw;Bovenbouw;6;Cultuur en Maatschappij;8;5;;0;;;8
19-20;40776-01ET-000;04. 40776-01ET-000;School;Vrouw;Bovenbouw;6;Natuur en Techniek;10;4;;0;;;10
19-20;40776-01ET-000;04. 40776-01ET-000;School;Vrouw;Bovenbouw;4;Natuur en Gezondheid;26;28;1;0;;25;
19-20;40776-01ET-000;04. 40776-01ET-000;School;Vrouw;Bovenbouw;4;Cultuur en Maatschappij;3;9;1;0;;2;
19-20;40776-01ET-000;04. 40776-01ET-000;School;Man;Bovenbouw;6;Profielcombinatie EMCM;14;;;0;;;14
19-20;40776-01ET-000;04. 40776-01ET-000;School;Man;Bovenbouw;6;Natuur en Techniek;15;13;;0;;;15
19-20;40776-01ET-000;04. 40776-01ET-000;School;Man;Bovenbouw;6;Economie en Maatschappij;8;15;;0;;;8
19-20;40776-01ET-000;04. 40776-01ET-000;School;Vrouw;Bovenbouw;6;Natuur en Gezondheid;10;8;;0;;;10
19-20;40776-01ET-000;04. 40776-01ET-000;School;Man;Bovenbouw;6;Cultuur en Maatschappij;2;1;;0;;;2
19-20;40776-01ET-000;04. 40776-01ET-000;School;Man;Bovenbouw;6;Natuur en Gezondheid;10;7;;1;;;9
19-20;40776-01ET-000;04. 40776-01ET-000;School;Man;Bovenbouw;4;Economie en Maatschappij;35;27;;1;;33;
19-20;40776-01ET-000;04. 40776-01ET-000;School;Vrouw;Bovenbouw;5;Natuur en Techniek;15;26;;1;;14;
19-20;40776-01ET-000;04. 40776-01ET-000;School;Vrouw;Bovenbouw;6;Profielcombinatie NTNG;32;27;;1;;;31
19-20;40776-01ET-000;04. 40776-01ET-000;School;Vrouw;Onderbouw;1;;60;79;;1;;58;
19-20;40776-01ET-000;04. 40776-01ET-000;School;Man;Bovenbouw;5;Economie en Maatschappij;28;20;;1;;27;
19-20;40776-01ET-000;04. 40776-01ET-000;School;Man;Bovenbouw;6;Profielcombinatie NTNG;20;24;;1;;;19
19-20;40776-01ET-000;04. 40776-01ET-000;School;Vrouw;Bovenbouw;6;Economie en Maatschappij;2;19;;1;;;1
19-20;40776-01ET-000;04. 40776-01ET-000;School;Vrouw;Onderbouw;3;;66;62;;1;;65;
19-20;40776-01ET-000;04. 40776-01ET-000;School;Man;Onderbouw;1;;89;66;2;2;;85;
19-20;40776-01ET-000;04. 40776-01ET-000;School;Man;Onderbouw;3;;66;88;;2;;64;
19-20;40776-01ET-000;04. 40776-01ET-000;School;Vrouw;Onderbouw;2;;79;70;1;6;;72;
19-20;40776-01ET-000;04. 40776-01ET-000;School;Man;Onderbouw;2;;66;71;2;8;;54;
20-21;40776-01ET-000;04. 40776-01ET-000;School;Vrouw;Bovenbouw;5;Cultuur en Maatschappij;2;11;;;;2;
20-21;40776-01ET-000;04. 40776-01ET-000;School;Vrouw;Bovenbouw;5;Economie en Maatschappij;17;17;;;;17;
20-21;40776-01ET-000;04. 40776-01ET-000;School;Vrouw;Bovenbouw;5;Natuur en Gezondheid;25;27;;;;23;
20-21;40776-01ET-000;04. 40776-01ET-000;School;Vrouw;Bovenbouw;4;Cultuur en Maatschappij;10;3;;;;9;
20-21;40776-01ET-000;04. 40776-01ET-000;School;Man;Bovenbouw;5;Natuur en Gezondheid;13;8;;;;11;
20-21;40776-01ET-000;04. 40776-01ET-000;School;Man;Bovenbouw;5;Natuur en Techniek;26;11;;;;21;
20-21;40776-01ET-000;04. 40776-01ET-000;School;Man;Bovenbouw;4;Natuur en Techniek;24;25;;;;20;
20-21;40776-01ET-000;04. 40776-01ET-000;School;Man;Bovenbouw;4;Natuur en Gezondheid;12;13;;;;11;
20-21;40776-01ET-000;04. 40776-01ET-000;School;Man;Bovenbouw;5;Cultuur en Maatschappij;;4;;;;;
20-21;40776-01ET-000;04. 40776-01ET-000;School;Man;Bovenbouw;4;Economie en Maatschappij;29;35;;;;27;
20-21;40776-01ET-000;04. 40776-01ET-000;School;Vrouw;Bovenbouw;6;Natuur en Techniek;7;10;;0;;;7
20-21;40776-01ET-000;04. 40776-01ET-000;School;Vrouw;Bovenbouw;6;Profielcombinatie EMCM;9;13;;0;;;9
20-21;40776-01ET-000;04. 40776-01ET-000;School;Vrouw;Bovenbouw;6;Profielcombinatie NTNG;30;32;;0;;;29
20-21;40776-01ET-000;04. 40776-01ET-000;School;Man;Bovenbouw;6;Natuur en Techniek;4;15;;0;;;4
20-21;40776-01ET-000;04. 40776-01ET-000;School;Man;Bovenbouw;6;Natuur en Gezondheid;3;10;;0;;;3
20-21;40776-01ET-000;04. 40776-01ET-000;School;Man;Bovenbouw;6;Profielcombinatie NTNG;10;20;;0;;;10
20-21;40776-01ET-000;04. 40776-01ET-000;School;Vrouw;Bovenbouw;6;Economie en Maatschappij;8;2;;0;;;8
20-21;40776-01ET-000;04. 40776-01ET-000;School;Man;Bovenbouw;6;Cultuur en Maatschappij;3;2;;1;;;2
20-21;40776-01ET-000;04. 40776-01ET-000;School;Vrouw;Bovenbouw;4;Economie en Maatschappij;14;16;;1;;12;
20-21;40776-01ET-000;04. 40776-01ET-000;School;Vrouw;Bovenbouw;6;Natuur en Gezondheid;4;10;;1;;;3
20-21;40776-01ET-000;04. 40776-01ET-000;School;Man;Bovenbouw;5;Economie en Maatschappij;33;28;;1;;29;
20-21;40776-01ET-000;04. 40776-01ET-000;School;Vrouw;Bovenbouw;4;Natuur en Gezondheid;28;26;;1;;25;
20-21;40776-01ET-000;04. 40776-01ET-000;School;Vrouw;Bovenbouw;6;Cultuur en Maatschappij;10;8;;1;;;9
20-21;40776-01ET-000;04. 40776-01ET-000;School;Vrouw;Onderbouw;1;;69;60;;2;;67;
20-21;40776-01ET-000;04. 40776-01ET-000;School;Vrouw;Bovenbouw;4;Natuur en Techniek;14;12;;2;;12;
20-21;40776-01ET-000;04. 40776-01ET-000;School;Man;Onderbouw;1;;81;89;1;2;;77;
20-21;40776-01ET-000;04. 40776-01ET-000;School;Vrouw;Bovenbouw;5;Natuur en Techniek;12;15;;2;;9;
20-21;40776-01ET-000;04. 40776-01ET-000;School;Man;Bovenbouw;6;Profielcombinatie EMCM;16;14;;3;;;13
20-21;40776-01ET-000;04. 40776-01ET-000;School;Man;Bovenbouw;6;Economie en Maatschappij;13;8;;3;;;8
20-21;40776-01ET-000;04. 40776-01ET-000;School;Man;Onderbouw;3;;54;66;;4;;46;
20-21;40776-01ET-000;04. 40776-01ET-000;School;Vrouw;Onderbouw;3;;72;66;;4;;67;
20-21;40776-01ET-000;04. 40776-01ET-000;School;Vrouw;Onderbouw;2;;58;79;;4;;52;
20-21;40776-01ET-000;04. 40776-01ET-000;School;Man;Onderbouw;2;;87;66;;11;;69;
21-22;40776-01ET-000;04. 40776-01ET-000;School;Vrouw;Bovenbouw;4;Cultuur en Maatschappij;11;10;;;;11;
21-22;40776-01ET-000;04. 40776-01ET-000;School;Vrouw;Bovenbouw;5;Natuur en Techniek;3;12;;;;3;
21-22;40776-01ET-000;04. 40776-01ET-000;School;Vrouw;Bovenbouw;5;Economie en Maatschappij;4;17;;;;4;
21-22;40776-01ET-000;04. 40776-01ET-000;School;Vrouw;Bovenbouw;5;Profielcombinatie EMCM;10;;;;;8;
21-22;40776-01ET-000;04. 40776-01ET-000;School;Vrouw;Bovenbouw;4;Natuur en Techniek;17;14;;;;16;
21-22;40776-01ET-000;04. 40776-01ET-000;School;Vrouw;Bovenbouw;4;Economie en Maatschappij;16;14;;;;13;
21-22;40776-01ET-000;04. 40776-01ET-000;School;Vrouw;Bovenbouw;5;Natuur en Gezondheid;6;25;;;;5;
21-22;40776-01ET-000;04. 40776-01ET-000;School;Man;Bovenbouw;6;Cultuur en Maatschappij;;3;;;;;
21-22;40776-01ET-000;04. 40776-01ET-000;School;Man;Bovenbouw;5;Natuur en Gezondheid;2;13;;;;2;
