tSchool;Schooljaar;slaagpct;examenkandidaten;geslaagden;ce_gem;se_gem;se_ce_verschil;ce_gem_duo;ce_grieks;ce_latijn;percentiel_slaag;percentiel_ce;percentiel_se;pct_wo;pct_hbo;pct_geen_bekostigd;totaal_gediplomeerden;leerlingen_totaal;leerlingen_groei_pct;pct_zittenblijvers;n_zittenblijvers;pct_afstromers;tevredenheid_ll;tevredenheid_ouders;sfeer;veiligheid;inspectie_oordeel;inspectie_obsnelheid_3jr;inspectie_bbsucces_3jr;inspectie_ce_3jr;inspectie_sece_3jr;inspectie_advies_3jr;leerling_leraar_ratio;fte_totaal;fte_onderwijzend;pct_schaal_lc;pct_schaal_ld;gem_loonsom_op;verzuimpct;meldfrequentie;brugjaar_bevorderd_pct;brugjaar_uitval_pct;n_examenvakken;has_grieks;has_latijn;n_deelnemers_grieks;n_deelnemers_latijn;klassieke_talen_deelname_pct;ses_woa;inkomen_gem_pctgrp;pct_inkomen_p80_100;vermogen_gem_pctgrp;welvaart_gem_pctgrp;pct_koopwoning;stedelijkheid;pct_migratie;pct_niet_westers;leefbaarheid;leefb_onveiligheid;leefb_sociaal;solvabiliteit;weerstandsvermogen;kapitalisatiefactor;eenpitter;pct_atheneum;gemengd;pct_meisjes;pct_natuur;afstroom_jongens;afstroom_meisjes
03. 13556-21AB-000;23-24;91,1;112;102;7,08;6,66;-0,41;7,09;7,6;7,0;50,0;94,0;20,0;41,2;0,0;58,8;102;806;0,5;4,2;34;;7,0;8,7;8,2;9,2;voldoende;96,98;93,3;7,0;-0,19;0,51;;;;;;;4,6;1,4;0,0;100,0;18;1;1;51;79;116,1;0,15;55,9;32,9;47,5;54,9;35,4;1,1;52,8;30,1;4,309;-0,079;-0,073;64,1;31,4;35,8;0;0,0;0;53,8;39,8;100,0;100,0
03. 13556-21AB-000;24-25;91,7;109;100;6,88;6,62;-0,26;6,9;7,3;7,1;58,0;77,0;11,0;;;;;764;-5,2;5,3;43;;;;;;voldoende;96,98;93,3;7,0;-0,19;0,51;;;;;;;;;;;18;1;1;48;84;121,1;0,15;55,9;32,9;47,5;54,9;35,4;1,1;52,8;30,1;4,309;-0,079;-0,073;64,1;31,4;35,8;0;0,0;0;54,6;40,2;0,0;0,0
04. 40776-01ET-000;21-22;93,5;108;101;6,83;6,81;-0,05;6,85;6,46;5,91;;;;54,5;0,0;45,5;101;795;;5,8;46;0,6;6,6;;7,9;;voldoende;96,46;94,51;6,94;-0,12;-0,51;17,7;57,9;44,2;34,2;54,7;5470,0;6,7;2,0;89,7;10,3;22;1;1;37;78;106,5;0,21;58,7;36,3;51,9;58,6;40,5;1,2;51,5;27,8;4,33;-0,053;-0,064;;;;0;0,0;0;48,1;58,2;6,8;6,5
04. 40776-01ET-000;22-23;94,2;120;113;6,94;6,86;-0,12;6,98;6,51;6,84;;;;65,5;0,9;33,6;113;782;-1,6;6,5;52;0,8;6,4;8,0;7,9;9,3;voldoende;96,46;94,51;6,94;-0,12;-0,51;;;;;;;7,5;1,7;95,2;4,8;22;1;1;29;91;100,0;0,21;58,7;36,3;51,9;58,6;40,5;1,2;51,5;27,8;4,33;-0,053;-0,064;;;;0;0,0;0;46,0;55,4;4,3;3,6
04. 40776-01ET-000;23-24;91,8;110;101;6,94;6,83;-0,11;6,94;6,7;7,0;60,0;73,0;75,0;50,5;0,0;48,5;101;780;-0,3;2,9;23;;;;7,9;9,3;voldoende;96,46;94,51;6,94;-0,12;-0,51;;;;;;;6,2;1,6;0,0;100,0;19;1;1;29;80;99,1;0,21;58,7;36,3;51,9;58,6;40,5;1,2;51,5;27,8;4,33;-0,053;-0,064;;;;0;0,0;0;46,3;34,1;100,0;100,0
04. 40776-01ET-000;24-25;97,1;105;102;7,11;6,85;-0,26;7,14;7,4;6,6;93,0;99,0;82,0;;;;;749;-4,0;4,9;38;0,8;;;;;voldoende;96,46;94,51;6,94;-0,12;-0,51;;;;;;;;;;;19;1;1;50;60;104,8;0,21;58,7;36,3;51,9;58,6;40,5;1,2;51,5;27,8;4,33;-0,053;-0,064;;;;0;0,0;0;46,7;58,0;0,0;0,0
05. 13556-21AF-000;21-22;89,5;124;111;6,58;6,78;0,14;6,56;6,26;6,44;;;;52,3;0,9;46,8;111;845;;3,5;29;0,6;6,7;;7,8;9,5;voldoende;94,87;94,0;6,97;-0,07;-0,77;17,2;65,0;49,0;31,7;57,0;5505,0;5,9;2,6;90,7;9,3;21;1;1;49;80;104,0;0,19;57,7;35,0;50,4;57,4;39,4;1,2;53,7;30,7;4,31;-0,058;-0,065;64,1;31,4;35,8;0;0,0;0;49,1;57,5;4,2;2,4
05. 13556-21AF-000;22-23;91,3;127;116;6,97;6,98;-0,07;6,95;6,99;7,55;;;;50,9;2,6;44,8;116;843;-0,2;5,3;45;;6,4;;7,4;;voldoende;94,87;94,0;6,97;-0,07;-0,77;16,9;63,6;49,0;37,8;50,7;5998,0;6,2;1,3;93,1;6,9;20;1;1;27;108;106,3;0,19;57,7;35,0;50,4;57,4;39,4;1,2;53,7;30,7;4,31;-0,058;-0,065;64,1;31,4;35,8;0;0,0;0;50,1;62,0;5,2;5,5
05. 13556-21AF-000;23-24;95,5;133;127;7,05;6,88;-0,17;7,03;7,9;7,2;85,0;87,0;77,0;57,5;2,4;40,2;127;830;-1,5;6,3;53;0,8;6,5;8,1;7,5;9,3;voldoende;94,87;94,0;6,97;-0,07;-0,77;;;;;;;6,5;1,3;0,0;100,0;18;1;1;35;111;109,8;0,19;57,7;35,0;50,4;57,4;39,4;1,2;53,7;30,7;4,31;-0,058;-0,065;64,1;31,4;35,8;0;0,0;0;48,7;62,8;100,0;100,0
05. 13556-21AF-000;24-25;92,5;120;111;6,93;6,86;-0,07;6,89;7,0;6,7;58,0;75,0;73,0;;;;;837;0,8;3,7;31;1,7;;;;;voldoende;94,87;94,0;6,97;-0,07;-0,77;;;;;;;;;;;18;1;1;33;96;107,5;0,19;57,7;35,0;50,4;57,4;39,4;1,2;53,7;30,7;4,31;-0,058;-0,065;64,1;31,4;35,8;0;0,0;0;47,2;64,8;0,0;0,0
06. 42818-20QU-000;21-22;93,6;94;88;6,39;6,69;0,27;6,38;6,11;5,66;;;;72,7;2,3;25,0;88;605;;5,9;37;0,6;;;;;voldoende;97,32;91,21;6,58;0,02;5,84;19,5;31,4;29,6;11,8;42,1;5171,0;9,8;1,1;92,9;7,1;22;1;1;34;62;102,1;0,16;55,7;24,4;56,8;56,6;67,0;2,6;18,6;10,1;4,229;0,049;0,023;55,2;29,9;41,4;0;0,0;0;46,0;58,7;5,5;5,4
06. 42818-20QU-000;22-23;79,0;100;79;6,58;6,67;0,02;6,58;6,42;5,94;;;;77,2;2,5;20,3;79;576;-4,8;4,6;28;1,0;;;;;voldoende;97,32;91,21;6,58;0,02;5,84;17,8;34,5;32,3;23,0;39,3;5614,0;7,8;1,1;93,3;6,7;20;1;1;40;63;103,0;0,16;55,7;24,4;56,8;56,6;67,0;2,6;18,6;10,1;4,229;0,049;0,023;55,2;29,9;41,4;0;0,0;0;45,5;57,8;5,1;8,4
06. 42818-20QU-000;23-24;86,2;87;75;6,56;6,63;0,07;6,58;5,8;6,4;18,0;15,0;27,0;78,7;4,0;17,3;75;575;-0,2;7,8;45;2,1;;;;;voldoende;97,32;91,21;6,58;0,02;5,84;;;;;;;7,2;1,1;0,0;100,0;17;1;1;28;64;105,7;0,16;55,7;24,4;56,8;56,6;67,0;2,6;18,6;10,1;4,229;0,049;0,023;55,2;29,9;41,4;0;0,0;0;46,6;59,2;100,0;100,0
06. 42818-20QU-000;24-25;79,3;87;69;6,46;6,68;0,22;6,38;6,3;6,3;6,0;15,0;15,0;;;;;524;-8,9;7,8;45;;;;;;voldoende;97,32;91,21;6,58;0,02;5,84;;;;;;;;;;;17;1;1;45;49;108,0;0,16;55,7;24,4;56,8;56,6;67,0;2,6;18,6;10,1;4,229;0,049;0,023;55,2;29,9;41,4;0;0,0;0;43,9;66,2;0,0;0,0
07. 13554-20RM-000;21-22;90,4;135;122;6,61;6,61;-0,0;6,58;6,81;5,55;;;;59,0;4,9;35,2;122;815;;6,3;56;1,5;6,3;;7,5;9,5;voldoende;96,22;91,14;6,55;-0,17;0,57;16,6;61,0;45,1;28,9;36,9;5049,0;;;88,9;11,1;24;1;1;68;75;105,9;0,08;53,1;23,8;51,2;52,7;55,9;2,5;26,4;15,7;4,147;0,009;;46,9;28,4;35,6;0;0,0;0;50,3;63,3;6,2;4,4
07. 13554-20RM-000;22-23;81,0;137;111;6,55;6,43;-0,17;6,55;5,88;6,28;;;;65,8;3,6;29,7;111;747;-8,3;6,1;50;1,0;6,3;;7,4;;voldoende;96,22;91,14;6,55;-0,17;0,57;18,0;53,4;38,4;34,1;34,9;5628,0;5,6;0,9;92,6;7,4;25;1;1;65;80;105,8;0,08;53,1;23,8;51,2;52,7;55,9;2,5;26,4;15,7;4,147;0,009;;46,9;28,4;35,6;0;0,0;0;49,3;66,9;7,1;6,2
07. 13554-20RM-000;23-24;82,4;119;98;6,55;6,38;-0,17;6,56;6,3;5,9;7,0;13,0;1,0;68,4;5,1;25,5;98;690;-7,6;10,6;80;0,7;6,2;7,6;7,3;9,2;voldoende;96,22;91,14;6,55;-0,17;0,57;;;;;;;5,0;0,9;0,0;100,0;18;1;1;33;91;104,2;0,08;53,1;23,8;51,2;52,7;55,9;2,5;26,4;15,7;4,147;0,009;;46,9;28,4;35,6;0;0,0;0;48,3;68,3;100,0;100,0
07. 13554-20RM-000;24-25;83,5;109;91;6,58;6,69;0,11;6,57;6,0;5,8;13,0;27,0;27,0;;;;;592;-14,2;8,0;57;1,4;;;;;voldoende;96,22;91,14;6,55;-0,17;0,57;;;;;;;;;;;18;1;1;43;72;105,5;0,08;53,1;23,8;51,2;52,7;55,9;2,5;26,4;15,7;4,147;0,009;;46,9;28,4;35,6;0;0,0;0;48,6;70,5;0,0;0,0
08. 41211-02FY-007;21-22;97,6;41;40;6,38;6,86;0,44;6,48;4,95;5,84;;;;82,5;10,0;7,5;40;367;;3,1;16;3,7;6,4;;7,6;9,1;geen oordeel;;;6,78;0,25;;14,8;204,7;133,0;32,2;25,3;4801,0;5,9;1,5;89,1;10,9;19;1;1;19;39;141,5;0,06;52,3;20,0;52,8;52,1;66,3;3,0;22,9;11,2;4,079;-0,003;0,012;36,1;34,9;44,4;0;55,6;1;49,0;67,4;9,1;10,0
08. 41211-02FY-007;22-23;80,7;83;67;6,78;7,04;0,25;6,52;6,24;6,97;;;;70,0;7,1;22,9;70;341;-7,1;2,2;11;1,4;;;;;geen oordeel;;;6,78;0,25;;15,2;193,5;123,7;31,8;24,2;5319,0;5,7;1,1;91,1;8,9;19;1;1;14;33;56,6;0,06;52,3;20,0;52,8;52,1;66,3;3,0;22,9;11,2;4,079;-0,003;0,012;36,1;34,9;44,4;0;55,6;1;49,0;65,7;12,1;10,2
08. 41211-02FY-007;23-24;87,8;82;72;6,77;7,11;0,34;6,5;8,2;6,8;42,0;39,0;99,0;62,7;18,1;18,1;83;306;-10,3;9,1;31;1,5;5,8;7,0;6,6;9,1;geen oordeel;;;6,78;0,25;;;;;;;;7,5;1,2;0,0;100,0;17;1;1;7;45;63,4;0,06;52,3;20,0;52,8;52,1;66,3;3,0;22,9;11,2;4,079;-0,003;0,012;36,1;34,9;44,4;0;55,6;1;50,0;67,3;100,0;100,0
08. 41211-02FY-007;24-25;76,1;88;67;6,29;6,76;0,47;6,24;7,0;6,0;1,0;6,0;58,0;;;;;195;-36,3;7,2;22;6,0;;;;;geen oordeel;;;6,78;0,25;;;;;;;;;;;;17;1;1;11;47;65,9;0,06;52,3;20,0;52,8;52,1;66,3;3,0;22,9;11,2;4,079;-0,003;0,012;36,1;34,9;44,4;0;55,6;1;59,0;;0,0;0,0
09. 42992-03AM-000;21-22;92,3;155;143;6,4;6,71;0,26;6,39;5,84;5,37;;;;65,7;5,6;28,7;143;890;;8,2;78;0,2;6,9;;8,2;;onvoldoende, tenzij;93,77;93,27;6,78;-0,13;0,27;16,2;73,1;51,1;41,3;44,9;5307,0;5,8;2,0;85,1;14,9;22;1;1;31;125;100,6;0,24;58,6;30,1;59,3;60,5;66,0;2,4;22,6;11,2;4,195;0,021;0,011;26,1;8,0;30,4;0;0,0;0;52,4;45,1;6,1;3,6
09. 42992-03AM-000;22-23;85,8;141;121;6,78;6,69;-0,13;6,78;6,01;6,15;;;;62,8;5,8;31,4;121;829;-6,9;5,9;53;1,3;6,9;;8,1;;onvoldoende, tenzij;93,77;93,27;6,78;-0,13;0,27;17,4;65,3;42,5;37,2;43,9;5864,0;4,6;1,1;88,7;11,3;22;1;1;22;123;102,8;0,24;58,6;30,1;59,3;60,5;66,0;2,4;22,6;11,2;4,195;0,021;0,011;26,1;8,0;30,4;0;0,0;0;53,0;45,1;6,4;6,2
09. 42992-03AM-000;23-24;97,3;148;144;6,86;6,7;-0,16;6,86;7,1;6,4;95,0;58,0;39,0;61,8;3,5;34,7;144;738;-11,0;5,5;46;1,8;6,9;8,1;;9,4;onvoldoende, tenzij;93,77;93,27;6,78;-0,13;0,27;;;;;;;8,6;1,2;0,0;100,0;18;1;1;18;128;98,6;0,24;58,6;30,1;59,3;60,5;66,0;2,4;22,6;11,2;4,195;0,021;0,011;26,1;8,0;30,4;0;0,0;0;52,7;44,4;100,0;100,0
09. 42992-03AM-000;24-25;88,2;127;112;6,79;6,93;0,14;6,73;7,0;6,4;35,0;46,0;80,0;;;;;691;-6,4;4,3;32;0,8;;;;;onvoldoende, tenzij;93,77;93,27;6,78;-0,13;0,27;;;;;;;;;;;18;1;1;9;120;101,6;0,24;58,6;30,1;59,3;60,5;66,0;2,4;22,6;11,2;4,195;0,021;0,011;26,1;8,0;30,4;0;0,0;0;51,1;57,1;0,0;0,0
10. 40856-02QP-000;21-22;90,7;54;49;6,47;6,77;0,17;6,41;5,48;5,6;;;;79,6;10,2;10,2;49;429;;9,8;43;1,4;6,5;;7,5;9,1;voldoende;91,43;88,24;6,86;-0,2;15,53;14,4;35,8;27,7;43,1;30,2;5127,0;1,4;0,8;88,0;12,0;21;1;1;19;42;113,0;0,13;53,1;19,7;58,6;55,7;71,1;3,6;17,3;6,7;4,134;0,056;0,037;46,9;26,3;54,0;0;0,0;0;44,1;55,8;9,6;11,6
10. 40856-02QP-000;22-23;81,2;48;39;6,86;6,76;-0,2;6,92;6,88;6,3;;;;69,2;15,4;15,4;39;398;-7,2;12,6;54;2,1;6,6;;7,6;9,2;voldoende;91,43;88,24;6,86;-0,2;15,53;14,9;31,5;24,6;43,1;34,7;5758,0;2,8;0,8;80,3;19,7;21;1;1;11;41;108,3;0,13;53,1;19,7;58,6;55,7;71,1;3,6;17,3;6,7;4,134;0,056;0,037;46,9;26,3;54,0;0;0,0;0;43,5;50,0;10,2;8,1
10. 40856-02QP-000;23-24;88,5;52;46;6,86;6,65;-0,21;6,84;6,4;6,0;26,0;54,0;25,0;69,6;10,9;19,6;46;367;-7,8;10,0;40;1,8;6,3;7,7;7,5;9,3;voldoende;91,43;88,24;6,86;-0,2;15,53;;;;;;;2,9;1,1;0,0;100,0;17;1;1;19;38;109,6;0,13;53,1;19,7;58,6;55,7;71,1;3,6;17,3;6,7;4,134;0,056;0,037;46,9;26,3;54,0;0;0,0;0;44,7;43,8;100,0;100,0
10. 40856-02QP-000;24-25;88,1;59;52;6,72;6,71;-0,01;6,69;6,0;6,2;35,0;37,0;35,0;;;;;291;-20,7;7,6;28;1,4;;;;;voldoende;91,43;88,24;6,86;-0,2;15,53;;;;;;;;;;;18;1;1;17;48;110,2;0,13;53,1;19,7;58,6;55,7;71,1;3,6;17,3;6,7;4,134;0,056;0,037;46,9;26,3;54,0;0;0,0;0;42,3;40,9;0,0;0,0
11. 41513-20KZ-000;21-22;94,8;135;128;6,51;6,8;0,21;6,49;5,4;5,35;;;;86,7;3,9;9,4;128;767;;5,6;43;1,2;6,6;;;;voldoende;93,18;91,13;6,75;0,18;6,61;15,1;64,3;47,7;31,3;48,1;5132,0;3,4;2,2;91,2;8,8;21;1;1;46;101;108,9;0,1;54,2;22,8;52,6;53,3;63,9;2,0;24,5;14,9;4,111;;-0,005;39,7;25,2;48,6;1;0,0;0;48,9;60,5;4,3;4,3
11. 41513-20KZ-000;22-23;93,9;115;108;6,75;6,93;0,18;6,71;6,92;6,29;;;;80,6;3,7;15,7;108;722;-5,9;9,4;72;0,9;;;;;voldoende;93,18;91,13;6,75;0,18;6,61;17,2;63,1;43,7;30,4;47,0;5615,0;3,8;1,3;89,8;10,2;21;1;1;28;97;108,7;0,1;54,2;22,8;52,6;53,3;63,9;2,0;24,5;14,9;4,111;;-0,005;39,7;25,2;48,6;1;0,0;0;47,4;58,0;6,3;3,8
11. 41513-20KZ-000;23-24;89,4;94;84;6,67;6,78;0,11;6,66;5,6;6,0;35,0;27,0;68,0;79,8;0,0;20,2;84;750;3,9;7,9;57;1,7;6,6;8,6;;9,5;voldoende;93,18;91,13;6,75;0,18;6,61;;;;;;;4,3;1,6;0,0;100,0;18;1;1;32;66;104,3;0,1;54,2;22,8;52,6;53,3;63,9;2,0;24,5;14,9;4,111;;-0,005;39,7;25,2;48,6;1;0,0;0;45,9;61,9;100,0;100,0
11. 41513-20KZ-000;24-25;83,3;84;70;6,37;6,76;0,4;6,34;5,9;5,6;13,0;11,0;68,0;;;;;799;6,5;6,5;49;1,2;;;;;voldoende;93,18;91,13;6,75;0,18;6,61;;;;;;;;;;;17;1;1;18;72;107,1;0,1;54,2;22,8;52,6;53,3;63,9;2,0;24,5;14,9;4,111;;-0,005;39,7;25,2;48,6;1;0,0;0;44,6;64,4;0,0;0,0
13. 41386-19ZU-000;21-22;95,1;103;98;6,63;6,89;0,19;6,56;6,74;5,0;;;;73,8;6,8;19,4;103;674;;6,0;42;1,0;6,5;;;;voldoende;96,7;90,81;6,55;0,12;3,92;17,7;47,2;36,5;35,6;43,0;5145,0;7,4;1,2;95,1;4,9;21;1;1;49;75;120,4;0,15;55,2;23,5;54,9;55,3;62,9;3,4;16,3;9,5;4,103;0,047;0,015;66,5;33,2;39,6;0;0,0;0;47,3;61,5;3,9;4,7
13. 41386-19ZU-000;22-23;83,1;89;74;6,55;6,74;0,12;6,49;6,22;6,06;;;;78,4;2,7;17,6;74;648;-3,9;5,8;39;1,5;;;;;voldoende;96,7;90,81;6,55;0,12;3,92;18,6;46,4;34,8;40,0;43,0;5747,0;3,8;1,1;96,4;3,6;21;1;1;50;44;105,6;0,15;55,2;23,5;54,9;55,3;62,9;3,4;16,3;9,5;4,103;0,047;0,015;66,5;33,2;39,6;0;0,0;0;46,1;62,1;6,6;6,7
13. 41386-19ZU-000;23-24;83,6;110;92;6,63;6,66;0,03;6,61;6,6;5,9;14,0;25,0;15,0;72,8;9,8;15,2;92;648;0,0;7,8;51;1,4;;;;;voldoende;96,7;90,81;6,55;0,12;3,92;;;;;;;3,0;1,4;0,0;100,0;18;1;1;39;77;105,5;0,15;55,2;23,5;54,9;55,3;62,9;3,4;16,3;9,5;4,103;0,047;0,015;66,5;33,2;39,6;0;0,0;0;44,8;57,8;100,0;100,0
13. 41386-19ZU-000;24-25;86,9;84;73;6,53;6,61;0,08;6,54;6,0;6,4;30,0;25,0;4,0;;;;;569;-12,2;7,9;51;1,4;;;;;voldoende;96,7;90,81;6,55;0,12;3,92;;;;;;;;;;;18;1;1;39;54;110,7;0,15;55,2;23,5;54,9;55,3;62,9;3,4;16,3;9,5;4,103;0,047;0,015;66,5;33,2;39,6;0;0,0;0;46,0;61,6;0,0;0,0
14. 41525-20AI-000;21-22;93,9;99;93;6,5;6,87;0,17;6,49;6,27;5,82;;;;80,6;1,1;17,2;93;701;;7,2;51;0,8;6,7;;7,7;;voldoende;96,53;92,72;6,56;0,01;-1,58;15,1;64,6;43,4;35,9;40,8;5068,0;6,2;1,5;87,7;12,3;21;1;1;73;28;102,0;0,14;55,0;24,1;55,0;55,3;62,3;2,5;21,4;13,0;4,12;0,005;;59,3;30,0;50,7;0;0,0;0;43,7;69,5;9,1;5,6
14. 41525-20AI-000;22-23;85,9;92;79;6,56;6,74;0,01;6,56;6,52;6,26;;;;75,9;2,5;21,5;79;655;-6,6;6,3;44;1,9;7,1;;;;voldoende;96,53;92,72;6,56;0,01;-1,58;16,4;56,2;39,7;40,4;39,8;5581,0;5,2;1,6;93,2;6,8;22;1;1;53;44;105,4;0,14;55,0;24,1;55,0;55,3;62,3;2,5;21,4;13,0;4,12;0,005;;59,3;30,0;50,7;0;0,0;0;45,5;68,1;5,3;5,4
14. 41525-20AI-000;23-24;87,0;131;114;6,59;6,59;-0,0;6,6;6,4;6,3;20,0;23,0;13,0;80,7;3,5;15,8;114;653;-0,3;4,9;32;1,5;7,0;8,4;7,7;9,4;voldoende;96,53;92,72;6,56;0,01;-1,58;;;;;;;;;0,0;100,0;18;1;1;87;48;103,1;0,14;55,0;24,1;55,0;55,3;62,3;2,5;21,4;13,0;4,12;0,005;;59,3;30,0;50,7;0;0,0;0;46,7;66,1;100,0;100,0
14. 41525-20AI-000;24-25;91,2;91;83;6,71;6,72;0,02;6,7;6,8;6,4;49,0;42,0;30,0;;;;;628;-3,8;3,4;22;1,8;;;;;voldoende;96,53;92,72;6,56;0,01;-1,58;;;;;;;;;;;17;1;1;45;49;103,3;0,14;55,0;24,1;55,0;55,3;62,3;2,5;21,4;13,0;4,12;0,005;;59,3;30,0;50,7;0;0,0;0;47,5;69,9;0,0;0,0
15. 41360-20LU-000;21-22;93,3;119;111;6,75;7,01;0,24;6,76;6,98;6,81;;;;77,5;0,9;21,6;111;839;;8,0;66;0,0;6,7;;;;voldoende;96,14;94,04;7,19;-0,18;-1,54;17,1;61,2;48,3;33,4;48,7;5275,0;9,2;1,3;87,8;12,2;21;1;1;37;88;105,0;0,09;54,2;28,8;52,0;54,8;49,4;1,2;55,9;35,6;4,261;-0,057;-0,046;49,1;25,4;46,6;0;0,0;0;48,7;55,9;8,8;5,9
15. 41360-20LU-000;22-23;95,2;124;118;7,19;7,02;-0,18;7,22;7,37;7,91;;;;72,9;4,2;22,9;118;828;-1,3;6,0;50;1,3;6,6;;7,6;9,4;voldoende;96,14;94,04;7,19;-0,18;-1,54;17,5;59,6;46,5;24,7;53,0;5679,0;5,8;1,4;89,1;10,9;21;1;1;48;82;104,8;0,09;54,2;28,8;52,0;54,8;49,4;1,2;55,9;35,6;4,261;-0,057;-0,046;49,1;25,4;46,6;0;0,0;0;48,4;57,4;8,2;5,5
15. 41360-20LU-000;23-24;88,8;116;103;6,95;6,89;-0,05;6,95;7,0;7,3;35,0;75,0;89,0;71,8;1,0;26,2;103;813;-1,8;4,8;40;0,6;7,0;8,4;;9,4;voldoende;96,14;94,04;7,19;-0,18;-1,54;;;;;;;3,6;1,5;0,0;100,0;18;1;1;56;65;104,3;0,09;54,2;28,8;52,0;54,8;49,4;1,2;55,9;35,6;4,261;-0,057;-0,046;49,1;25,4;46,6;0;0,0;0;48,5;56,1;100,0;100,0
15. 41360-20LU-000;24-25;91,3;115;105;6,98;6,97;-0,01;6,94;6,9;7,9;49,0;85,0;92,0;;;;;762;-6,3;5,3;43;0,9;;;;;voldoende;96,14;94,04;7,19;-0,18;-1,54;;;;;;;;;;;18;1;1;48;76;107,8;0,09;54,2;28,8;52,0;54,8;49,4;1,2;55,9;35,6;4,261;-0,057;-0,046;49,1;25,4;46,6;0;0,0;0;47,9;64,3;0,0;0,0
16. 33944-02DQ-000;21-22;95,9;122;117;6,84;6,93;0,05;6,86;6,09;6,32;;;;67,5;0,9;31,6;117;792;;2,7;21;0,4;6,8;;7,9;;voldoende;97,3;93,95;7,09;-0,17;-1,55;15,5;63,9;48,8;38,7;50,5;5344,0;6,7;1,3;92,5;7,5;24;1;1;43;96;113,9;0,34;64,0;42,2;64,8;67,5;59,8;1,3;45,9;21,4;4,431;0,014;-0,019;55,6;19,6;15,0;1;0,0;0;51,0;58,7;4,6;5,0
16. 33944-02DQ-000;22-23;98,3;119;117;7,09;6,96;-0,17;7,11;6,47;6,93;;;;65,0;0,9;32,5;117;755;-4,7;5,6;44;;6,7;8,4;7,9;9,4;voldoende;97,3;93,95;7,09;-0,17;-1,55;17,1;60,1;45,5;39,0;49,3;5919,0;4,3;2,0;94,9;5,1;23;1;1;50;86;114,3;0,34;64,0;42,2;64,8;67,5;59,8;1,3;45,9;21,4;4,431;0,014;-0,019;55,6;19,6;15,0;1;0,0;0;50,1;63,2;3,2;4,8
16. 33944-02DQ-000;23-24;97,1;103;100;7,13;6,93;-0,21;7,09;7,2;6,6;95,0;92,0;94,0;56,0;4,0;40,0;100;780;3,3;2,5;19;0,8;;;7,9;9,4;voldoende;97,3;93,95;7,09;-0,17;-1,55;;;;;;;5,7;1,0;0,0;100,0;18;1;1;38;67;101,9;0,34;64,0;42,2;64,8;67,5;59,8;1,3;45,9;21,4;4,431;0,014;-0,019;55,6;19,6;15,0;1;0,0;0;48,8;62,1;100,0;100,0
16. 33944-02DQ-000;24-25;97,4;114;111;6,97;6,97;-0,01;6,95;7,7;6,7;93,0;87,0;94,0;;;;;788;1,0;2,6;20;;;;;;voldoende;97,3;93,95;7,09;-0,17;-1,55;;;;;;;;;;;18;1;1;25;92;102,6;0,34;64,0;42,2;64,8;67,5;59,8;1,3;45,9;21,4;4,431;0,014;-0,019;55,6;19,6;15,0;1;0,0;0;49,0;55,7;0,0;0,0
17. 42510-20BV-000;21-22;92,6;122;113;6,6;6,91;0,24;6,62;6,06;5,44;;;;57,5;2,7;39,8;113;813;;7,0;59;0,7;7,2;;8,1;9,6;voldoende;96,14;90,38;6,48;0,2;2,11;17,4;64,6;44,9;27,0;40,7;5044,0;4,0;2,0;89,4;10,6;22;1;1;36;90;103,3;0,12;52,0;22,2;50,3;51,7;54,1;2,4;23,7;11,7;4,187;0,019;0,008;;;;0;0,0;0;48,3;68,6;7,9;4,8
17. 42510-20BV-000;22-23;82,5;103;85;6,48;6,8;0,2;6,47;5,11;5,96;;;;65,9;3,5;30,6;85;782;-3,8;6,9;56;1,2;7,3;;8,2;;voldoende;96,14;90,38;6,48;0,2;2,11;;;;;;;;;92,6;7,4;22;1;1;22;90;108,7;0,12;52,0;22,2;50,3;51,7;54,1;2,4;23,7;11,7;4,187;0,019;0,008;;;;0;0,0;0;48,3;70,8;6,4;5,6
17. 42510-20BV-000;23-24;89,9;138;124;6,72;6,75;0,02;6,75;6,1;6,5;42,0;37,0;51,0;62,9;4,8;31,5;124;784;0,3;8,0;63;1,0;7,1;8,1;7,9;9,3;voldoende;96,14;90,38;6,48;0,2;2,11;;;;;;;4,9;0,9;0,0;100,0;18;1;1;62;83;105,1;0,12;52,0;22,2;50,3;51,7;54,1;2,4;23,7;11,7;4,187;0,019;0,008;;;;0;0,0;0;47,2;68,7;100,0;100,0
17. 42510-20BV-000;24-25;83,9;118;99;6,47;6,71;0,24;6,48;6,2;6,3;20,0;20,0;32,0;;;;;744;-5,1;5,3;42;1,1;;;;;voldoende;96,14;90,38;6,48;0,2;2,11;;;;;;;;;;;19;1;1;41;85;106,8;0,12;52,0;22,2;50,3;51,7;54,1;2,4;23,7;11,7;4,187;0,019;0,008;;;;0;0,0;0;43,4;65,4;0,0;0,0
18. 31240-02CR-000;21-22;95,8;119;114;6,77;6,94;-0,01;6,75;6,8;5,92;;;;69,3;7,0;23,7;114;728;;7,9;58;1,8;7,1;;8,1;9,5;onvoldoende, tenzij;94,29;92,34;6,94;-0,08;-2,51;15,0;60,1;45,1;27,7;38,6;5055,0;4,2;2,5;89,7;10,3;21;1;1;28;98;105,9;0,2;55,3;25,3;55,6;55,9;62,1;3,0;20,8;10,2;4,208;0,046;0,024;61,4;56,3;58,5;1;0,4;0;46,3;57,4;5,1;5,6
