tSchool;Schooljaar;Profiel;Geslacht;Examenkandidaten;Geslaagden;Slaagpercentage
03. 13556-21AB-000;23-24;E&M/C&M;Man;26;25;96.2
03. 13556-21AB-000;23-24;E&M/C&M;Vrouw;24;20;83.3
03. 13556-21AB-000;23-24;N&G;Vrouw;8;5;62.5
03. 13556-21AB-000;23-24;N&G/C&M;Vrouw;0;0;0.0
03. 13556-21AB-000;23-24;N&G/E&M;Man;0;0;0.0
03. 13556-21AB-000;23-24;N&G/E&M;Vrouw;0;0;0.0
03. 13556-21AB-000;23-24;N&T;Man;8;8;100.0
03. 13556-21AB-000;23-24;N&T/N&G;Man;13;11;84.6
03. 13556-21AB-000;23-24;N&T/N&G;Vrouw;16;16;100.0
03. 13556-21AB-000;24-25;C&M;Man;7;6;85.7
03. 13556-21AB-000;24-25;C&M;Vrouw;13;11;84.6
03. 13556-21AB-000;24-25;E&M/C&M;Man;24;24;100.0
03. 13556-21AB-000;24-25;E&M/C&M;Vrouw;15;13;86.7
03. 13556-21AB-000;24-25;N&G;Vrouw;5;5;100.0
03. 13556-21AB-000;24-25;N&G/C&M;Man;0;0;0.0
03. 13556-21AB-000;24-25;N&G/C&M;Vrouw;0;0;0.0
03. 13556-21AB-000;24-25;N&G/E&M;Vrouw;0;0;0.0
03. 13556-21AB-000;24-25;N&T;Man;8;8;100.0
03. 13556-21AB-000;24-25;N&T/N&G;Man;15;13;86.7
03. 13556-21AB-000;24-25;N&T/N&G;Vrouw;19;17;89.5
04. 40776-01ET-000;21-22;C&M;Man;0;0;0.0
04. 40776-01ET-000;21-22;E&M;Man;17;15;88.2
04. 40776-01ET-000;21-22;E&M;Vrouw;7;6;85.7
04. 40776-01ET-000;21-22;E&M/C&M;Man;14;14;100.0
04. 40776-01ET-000;21-22;E&M/C&M;Vrouw;8;8;100.0
04. 40776-01ET-000;21-22;N&G/C&M;Man;0;0;0.0
04. 40776-01ET-000;21-22;N&G/E&M;Vrouw;0;0;0.0
04. 40776-01ET-000;21-22;N&T;Man;9;9;100.0
04. 40776-01ET-000;21-22;N&T;Vrouw;8;7;87.5
04. 40776-01ET-000;21-22;N&T/E&M;Man;0;0;0.0
04. 40776-01ET-000;21-22;N&T/E&M;Vrouw;0;0;0.0
04. 40776-01ET-000;21-22;N&T/N&G;Man;19;18;94.7
04. 40776-01ET-000;21-22;N&T/N&G;Vrouw;20;19;95.0
04. 40776-01ET-000;22-23;C&M;Man;0;0;0.0
04. 40776-01ET-000;22-23;C&M;Vrouw;6;5;83.3
04. 40776-01ET-000;22-23;E&M;Man;11;10;90.9
04. 40776-01ET-000;22-23;E&M/C&M;Man;16;15;93.8
04. 40776-01ET-000;22-23;E&M/C&M;Vrouw;9;9;100.0
04. 40776-01ET-000;22-23;N&G;Vrouw;7;7;100.0
04. 40776-01ET-000;22-23;N&G/C&M;Man;0;0;0.0
04. 40776-01ET-000;22-23;N&G/C&M;Vrouw;0;0;0.0
04. 40776-01ET-000;22-23;N&G/E&M;Man;0;0;0.0
04. 40776-01ET-000;22-23;N&G/E&M;Vrouw;0;0;0.0
04. 40776-01ET-000;22-23;N&T;Man;7;7;100.0
04. 40776-01ET-000;22-23;N&T/E&M;Man;0;0;0.0
04. 40776-01ET-000;22-23;N&T/E&M;Vrouw;0;0;0.0
04. 40776-01ET-000;22-23;N&T/N&G;Man;27;25;92.6
04. 40776-01ET-000;22-23;N&T/N&G;Vrouw;29;27;93.1
04. 40776-01ET-000;23-24;C&M;Vrouw;9;7;77.8
04. 40776-01ET-000;23-24;E&M;Man;7;7;100.0
04. 40776-01ET-000;23-24;E&M;Vrouw;6;6;100.0
04. 40776-01ET-000;23-24;E&M/C&M;Man;10;10;100.0
04. 40776-01ET-000;23-24;E&M/C&M;Vrouw;9;8;88.9
04. 40776-01ET-000;23-24;N&G;Vrouw;15;13;86.7
04. 40776-01ET-000;23-24;N&G/C&M;Man;0;0;0.0
