Type data;tSchool;Schooljaar;Tevredenheid leerlingen;Benchmark tevredenheid leerlingen;Sfeer;Benchmark sfeer;Veiligheid;Benchmark veiligheid;Tevredenheid ouders;Benchmark tevredenheid ouders
School;27. 42505-30GD-000;21-22;6,7;6,5;7,8;7,6;9,3;9,5;;
School;27. 42505-30GD-000;22-23;6,5;6,4;7,6;7,4;9,3;9,4;;
School;27. 42505-30GD-000;23-24;6,2;6,4;7,5;7,4;9,3;9,4;8,4;7,7
School;28. 41211-17JY-000;21-22;;6,5;8,1;7,6;;;;
School;28. 41211-17JY-000;22-23;6,7;6,4;7,8;7,4;;;;
School;28. 41211-17JY-000;23-24;6,7;6,4;7,9;7,4;9,2;9,4;8,4;7,7
School;29. 41285-20CI-000;21-22;6,8;6,5;7,9;7,6;;;;
School;29. 41285-20CI-000;22-23;6,5;6,4;7,8;7,4;;;;
School;29. 41285-20CI-000;23-24;6,4;6,4;7,4;7,4;8,9;9,4;8,2;7,8
School;30. 42992-02QO-000;21-22;7,1;6,5;;7,6;;;;
School;30. 42992-02QO-000;22-23;7,1;6,4;7,9;7,4;;;;
School;30. 42992-02QO-000;23-24;6,7;6,4;7,9;7,4;9,2;9,4;8,1;7,7
School;31. 41775-15SC-000;21-22;6,6;6,5;7,9;7,6;9,5;7,9;;
School;31. 41775-15SC-000;22-23;6,4;6,4;7,7;7,4;9,4;9,4;;
School;31. 41775-15SC-000;23-24;6,5;6,4;7,6;7,4;9,3;9,4;7,9;7,7
School;32. 20151-14QT-000;21-22;6,2;6,5;7,5;7,6;;;;
School;32. 20151-14QT-000;22-23;6,2;6,4;7,3;7,4;;;;
School;32. 20151-14QT-000;23-24;6,4;6,4;7,7;7,4;9,3;9,4;7,8;7,7
School;33. 41568-20DC-000;21-22;6,8;6,5;7,8;7,6;;;;
School;33. 41568-20DC-000;22-23;7,0;6,4;7,9;7,4;9,2;9,4;8,3;
School;33. 41568-20DC-000;23-24;;;7,9;7,4;;;;
School;34. 40996-04DS-000;21-22;6,6;6,5;7,6;7,6;9,6;7,9;;
School;34. 40996-04DS-000;22-23;6,5;6,4;7,3;7,4;;;;
School;34. 40996-04DS-000;23-24;6,5;6,4;7,4;7,4;9,5;9,4;8,3;7,8
School;36. 41475-15JM-000;21-22;7,3;6,5;8,4;7,6;;;;
School;36. 41475-15JM-000;22-23;7,1;6,4;8,1;7,4;;;;
School;36. 41475-15JM-000;23-24;7,1;6,4;8,1;7,4;9,5;9,4;8,5;7,7
School;37. 13556-20DG-000;21-22;6,4;6,5;8,1;7,6;;;;
School;37. 13556-20DG-000;22-23;6,8;6,4;;7,4;8,6;7,8;;
School;37. 13556-20DG-000;23-24;6,8;6,4;8,2;7,4;9,5;9,4;8,4;7,7
School;38. 42623-20CF-000;21-22;6,5;6,5;7,7;7,6;;;;
School;38. 42623-20CF-000;22-23;6,7;6,4;7,6;7,4;;;;
School;38. 42623-20CF-000;23-24;6,5;;7,6;;9,2;;8,0;
School;41. 42620-01FP-004;19-20;;;7,3;7,3;9,4;9,5;;
School;41. 42620-01FP-004;20-21;;;7,5;7,8;;;;
School;41. 42620-01FP-004;21-22;;6,5;7,1;7,6;;;;
School;41. 42620-01FP-004;23-24;5,9;6,4;7,1;7,6;9,3;9,5;7,5;7,8
School;42. 40586-30GC-000;21-22;;6,5;7,9;7,6;;;;
School;42. 40586-30GC-000;22-23;6,5;6,4;7,4;7,4;;;;
School;42. 40586-30GC-000;23-24;6,7;6,4;7,7;7,4;9,1;9,4;8,1;7,7
School;43. 42621-14RF-006;21-22;6,7;6,5;7,6;7,6;;7,9;;
School;43. 42621-14RF-006;22-23;6,7;6,4;7,6;7,4;9,1;9,4;;
School;43. 42621-14RF-006;23-24;6,6;6,4;7,6;7,4;;9,4;8,1;7,7
School;44. 20151-31RY-000;21-22;6,9;6,5;7,8;7,6;8,7;7,9;;
School;44. 20151-31RY-000;22-23;7,2;6,4;7,9;7,4;8,7;7,8;;
School;44. 20151-31RY-000;23-24;7,3;6,4;;7,4;9,3;9,4;8,8;7,7
School;45. 99048-19HV-000;21-22;6,7;6,5;7,7;7,6;;;;
School;45. 99048-19HV-000;22-23;6,4;6,4;7,2;7,4;;;;
School;45. 99048-19HV-000;23-24;6,6;6,4;7,1;7,4;9,1;9,4;7,9;7,7
School;46. 41298-02VO-000;21-22;6,8;6,5;;7,6;;;;
School;46. 41298-02VO-000;22-23;6,8;6,4;7,8;7,4;;;;
School;46. 41298-02VO-000;23-24;6,8;6,4;;7,4;9,3;9,4;8,2;7,7
