Type data;tSchool;Jaar;Rang;Bestemmingsinstelling;Aantal;Percentage
School;46. 41298-02VO-000;2024;1;Technische Universiteit Delft;18;23
School;46. 41298-02VO-000;2024;2;Universiteit Leiden;13;17
School;46. 41298-02VO-000;2024;3;Erasmus Universiteit Rotterdam;11;14
School;46. 41298-02VO-000;2024;4;Universiteit Utrecht;7;9
School;46. 41298-02VO-000;2024;5;WU;3;4
School;46. 41298-02VO-000;2024;6;Universiteit van Amsterdam;3;4
School;46. 41298-02VO-000;2024;7;Techn. Universiteit Eindhoven;2;3
School;46. 41298-02VO-000;2024;8;Tilburg University;2;3
School;46. 41298-02VO-000;2024;9;Vrije Universiteit Amsterdam;1;1
School;46. 41298-02VO-000;2024;10;Universiteit Twente;1;1
