Type data;tSchool;Schooljaar;Voorlopig definitief;Profiel;Examenkandidaten;Geslaagden;Gezakten;Slaagpercentage;tCentraal examen;tSchoolexamen;tCijferlijst;Percentiel slaag;Percentiel ce;Percentiel se
School;30. 42992-02QO-000;23-24;Definitief;Natuur en Gezondheid;15;13;;87;6100000;6400000;6500000;50;10;48
School;30. 42992-02QO-000;23-24;Definitief;Natuur en Techniek;10;9;;90;6900000;7000000;7100000;15;19;56
School;30. 42992-02QO-000;23-24;Definitief;Natuur en Techniek / Natuur en Gezondheid;53;45;8;85;6900000;7100000;7100000;2;19;76
School;10. 40856-02QP-000;23-24;Definitief;Cultuur en Maatschappij;7;6;;86;6600000;6500000;6600000;28;51;28
School;10. 40856-02QP-000;23-24;Definitief;Economie en Maatschappij;8;6;;75;6300000;6000000;6100000;9;26;9
School;10. 40856-02QP-000;23-24;Definitief;Economie en Maatschappij / Cultuur en Maatschappij;18;15;;83;6900000;6700000;6900000;16;76;63
School;10. 40856-02QP-000;23-24;Definitief;Natuur en Gezondheid;6;6;0;100;6200000;6300000;6300000;88;21;34
School;10. 40856-02QP-000;23-24;Definitief;Natuur en Techniek / Natuur en Gezondheid;13;13;0;100;7500000;7200000;7400000;90;99;89
School;46. 41298-02VO-000;23-24;Definitief;Economie en Maatschappij;8;7;;88;6400000;6600000;6700000;50;44;76
School;46. 41298-02VO-000;23-24;Definitief;Economie en Maatschappij / Cultuur en Maatschappij;15;12;;80;6200000;6500000;6500000;9;10;23
School;46. 41298-02VO-000;23-24;Definitief;Natuur en Gezondheid;12;12;0;100;6700000;6500000;6700000;88;84;63
School;46. 41298-02VO-000;23-24;Definitief;Natuur en Techniek;11;10;;91;7000000;7200000;7200000;18;33;73
School;46. 41298-02VO-000;23-24;Definitief;Natuur en Techniek / Natuur en Gezondheid;39;37;;95;7100000;6900000;7100000;52;48;33
School;09. 42992-03AM-000;23-24;Definitief;Cultuur en Maatschappij;24;23;;96;6700000;6700000;6700000;76;67;56
School;09. 42992-03AM-000;23-24;Definitief;Economie en Maatschappij;5;5;0;100;7000000;6600000;6800000;76;91;76
School;09. 42992-03AM-000;23-24;Definitief;Economie en Maatschappij / Cultuur en Maatschappij;58;57;;98;6800000;6700000;6800000;91;63;63
School;09. 42992-03AM-000;23-24;Definitief;Natuur en Gezondheid;27;25;;93;6700000;6500000;6600000;68;84;63
School;09. 42992-03AM-000;23-24;Definitief;Natuur en Techniek;8;8;0;100;7100000;6600000;6900000;65;48;14
School;09. 42992-03AM-000;23-24;Definitief;Natuur en Techniek / Natuur en Gezondheid;26;26;0;100;7200000;6900000;7100000;90;67;33
School;34. 40996-04DS-000;23-24;Definitief;Cultuur en Maatschappij;6;5;;83;6500000;6800000;7000000;19;36;74
School;34. 40996-04DS-000;23-24;Definitief;Economie en Maatschappij / Cultuur en Maatschappij;5;5;0;100;7100000;6800000;7100000;96;94;80
School;34. 40996-04DS-000;23-24;Definitief;Natuur en Gezondheid;14;13;;93;6400000;6600000;6700000;68;46;80
School;34. 40996-04DS-000;23-24;Definitief;Natuur en Techniek;8;8;0;100;6800000;6300000;6700000;65;9;2
School;34. 40996-04DS-000;23-24;Definitief;Natuur en Techniek / Natuur en Gezondheid;19;18;;95;7300000;7100000;7400000;52;83;76
School;32. 20151-14QT-000;23-24;Definitief;Cultuur en Maatschappij;16;14;;88;6300000;6300000;6600000;38;21;8
School;32. 20151-14QT-000;23-24;Definitief;Economie en Maatschappij / Cultuur en Maatschappij;19;16;;84;6400000;6400000;6700000;18;20;10
School;32. 20151-14QT-000;23-24;Definitief;Natuur en Gezondheid;6;6;0;100;6200000;6200000;6400000;88;21;21
School;32. 20151-14QT-000;23-24;Definitief;Natuur en Techniek;9;9;0;100;7000000;6800000;7100000;65;33;31
School;32. 20151-14QT-000;23-24;Definitief;Natuur en Techniek / Natuur en Gezondheid;31;28;;90;7000000;6800000;7100000;11;31;13
School;43. 42621-14RF-006;23-24;Definitief;Cultuur en Maatschappij;12;12;0;100;7100000;7000000;7100000;89;90;92
School;43. 42621-14RF-006;23-24;Definitief;Economie en Maatschappij / Cultuur en Maatschappij;34;33;;97;6900000;6600000;6800000;88;76;42
School;43. 42621-14RF-006;23-24;Definitief;Natuur en Gezondheid;14;13;;93;6400000;6500000;6600000;68;46;63
School;43. 42621-14RF-006;23-24;Definitief;Natuur en Techniek;12;12;0;100;7100000;7000000;7200000;65;48;56
School;43. 42621-14RF-006;23-24;Definitief;Natuur en Techniek / Natuur en Gezondheid;30;28;;93;7000000;6900000;7100000;31;31;33
School;25. 41347-14WI-000;23-24;Definitief;Cultuur en Maatschappij;15;12;;80;6400000;6600000;6700000;12;28;44
School;25. 41347-14WI-000;23-24;Definitief;Economie en Maatschappij / Cultuur en Maatschappij;15;13;;87;6600000;6600000;6800000;33;43;42
School;25. 41347-14WI-000;23-24;Definitief;Natuur en Gezondheid;15;8;7;53;5900000;6200000;6300000;4;4;21
School;25. 41347-14WI-000;23-24;Definitief;Natuur en Techniek / Natuur en Gezondheid;14;13;;93;7100000;7300000;7400000;31;48;96
School;36. 41475-15JM-000;23-24;Definitief;Cultuur en Maatschappij;15;15;0;100;7200000;7100000;7200000;89;95;97
School;36. 41475-15JM-000;23-24;Definitief;Economie en Maatschappij;13;13;0;100;6600000;6400000;6600000;76;68;44
School;36. 41475-15JM-000;23-24;Definitief;Economie en Maatschappij / Cultuur en Maatschappij;41;39;;95;7000000;6900000;7000000;77;87;89
School;36. 41475-15JM-000;23-24;Definitief;Natuur en Gezondheid;29;28;;97;6800000;6700000;6800000;74;94;93
School;36. 41475-15JM-000;23-24;Definitief;Natuur en Techniek;7;7;0;100;7500000;7100000;7400000;65;75;67
School;36. 41475-15JM-000;23-24;Definitief;Natuur en Techniek / Natuur en Gezondheid;66;66;0;100;7200000;7000000;7200000;90;67;57
School;31. 41775-15SC-000;23-24;Definitief;Cultuur en Maatschappij;13;12;;92;7100000;6500000;6800000;57;90;28
School;31. 41775-15SC-000;23-24;Definitief;Economie en Maatschappij / Cultuur en Maatschappij;33;28;5;85;6800000;6600000;6700000;23;63;42
School;31. 41775-15SC-000;23-24;Definitief;Natuur en Gezondheid;14;11;;79;6600000;6300000;6400000;20;70;34
School;31. 41775-15SC-000;23-24;Definitief;Natuur en Techniek;11;11;0;100;7100000;6700000;6900000;65;48;22
